mode,entity_type,template,bindings,error
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""MGA_GM_City""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""MGA_FORD_MASTER_City""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""Warren, UNITED STATES""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""CA""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""105 (갈현리, 다이모스(주))""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""194""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""Australia""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""SHANGHI.CHINA""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""Suzhou New District""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""95 (이화리)""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""104-7""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""South Africa""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""130 (성주동, 지엠대우창원정비사업소)""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""UZ , Uzbekistan""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""KOZYATAGI,ISTANBUL.""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""MDK_FIAT CHRYSLER_City""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""MI, USA""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""Chongqing, China""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""Munchen Deutschland""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""WARSZAWA""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""EUWIED""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""HAMBURG""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""Heinsdorfergrund""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""Luton""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""MCP_FORD_City""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""MI,""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""DAMME""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""GARCHING-HOCHBRUECK""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""MCP_BENTELER AUTOMOBILTECHNIK GMBH_City""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""GERMANY""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""Buchloe.""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""dummy""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""MEXICO""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""MCM_FORD_City""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""CA , United States""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""Ellesmere Port""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""MCE_BMW_City""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""MCE_ARROW CENTRAL EUROPE GMBH_City""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""上海""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""MCC_FORD_TAIWAN_DE_City""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""重庆""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""北京""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""Silao""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""MCA_FORD_City""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""MCA_CHRYSLER_City""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""上海""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""湖北""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""Seocho-ku,Seoul,Korea""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""USA""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""慈溪市宁波""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""中国烟台""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""江北""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""合肥""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""München""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""河北省沧""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""HMMA_City""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""233 (청천동)""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""Chikhali, Pune.""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""California""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""23""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""7, C동 5층 511호 (문정동, 문정현대지식산업센터1)""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""126, 5층 (방배동, 석화빌딩) 서초구""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""KBAUTOSYS CO LTD_City""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""Kiriu USA Corporation_City""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""CITY""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""1130 RAIMUND MUSCODA RD""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""56 (남촌동)""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""경기 부천시""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""Seoul""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""Seoul""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""address""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""충남 공주시""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""Changwon""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""test1333""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""Incheon""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""Seoul""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""Busan""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""Seoul""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""Incheon""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""Krauthausen""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""Seoul""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""Sold to Sold to_City""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""Sold to Sold to_City""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""11111""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""Sold to Sold to_City""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""Sold to Sold to_City""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""12345""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""경기""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""경기""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
node,City,"UNWIND $rows AS row
    MERGE (n:City {ORT01: row.ORT01})
    SET n += row","{""name"": ""경기""}",{code: Neo.ClientError.Statement.SemanticError} {message: Cannot merge the following node because of null property value for 'ORT01': (:City {ORT01: null})}
